town,candidate,first_choice_votes,town_total_ballots,first_choice_pct,candidate_short
Abbot,"Cote, Adam Roland",7,32,21.88,Cote
Abbot,"Dion, Donna J.",1,32,3.12,Dion_Donna
Abbot,"Dion, Mark N.",2,32,6.25,Dion_Mark
Abbot,"Eves, Mark W.",4,32,12.5,Eves
Abbot,"Mills, Janet T.",14,32,43.75,Mills
Abbot,"Russell, Diane Marie",1,32,3.12,Russell
Abbot,"Sweet, Elizabeth A.",3,32,9.38,Sweet
Acton,"Cote, Adam Roland",102,208,49.04,Cote
Acton,"Dion, Mark N.",4,208,1.92,Dion_Mark
Acton,"Eves, Mark W.",27,208,12.98,Eves
Acton,"Mills, Janet T.",43,208,20.67,Mills
Acton,"Russell, Diane Marie",7,208,3.37,Russell
Acton,"Sweet, Elizabeth A.",25,208,12.02,Sweet
Addison,"Cote, Adam Roland",24,84,28.57,Cote
Addison,"Dion, Donna J.",2,84,2.38,Dion_Donna
Addison,"Dion, Mark N.",2,84,2.38,Dion_Mark
Addison,"Eves, Mark W.",6,84,7.14,Eves
Addison,"Mills, Janet T.",41,84,48.81,Mills
Addison,"Russell, Diane Marie",3,84,3.57,Russell
Addison,"Sweet, Elizabeth A.",6,84,7.14,Sweet
Albany Twp,"Cote, Adam Roland",9,44,20.45,Cote
Albany Twp,"Dion, Donna J.",1,44,2.27,Dion_Donna
Albany Twp,"Dion, Mark N.",1,44,2.27,Dion_Mark
Albany Twp,"Eves, Mark W.",9,44,20.45,Eves
Albany Twp,"Mills, Janet T.",13,44,29.55,Mills
Albany Twp,"Russell, Diane Marie",4,44,9.09,Russell
Albany Twp,"Sweet, Elizabeth A.",7,44,15.91,Sweet
Albion,"Cote, Adam Roland",22,103,21.36,Cote
Albion,"Dion, Donna J.",1,103,0.97,Dion_Donna
Albion,"Dion, Mark N.",4,103,3.88,Dion_Mark
Albion,"Eves, Mark W.",10,103,9.71,Eves
Albion,"Mills, Janet T.",43,103,41.75,Mills
Albion,"Russell, Diane Marie",5,103,4.85,Russell
Albion,"Sweet, Elizabeth A.",18,103,17.48,Sweet
Alexander,"Cote, Adam Roland",8,22,36.36,Cote
Alexander,"Dion, Mark N.",3,22,13.64,Dion_Mark
Alexander,"Eves, Mark W.",3,22,13.64,Eves
Alexander,"Mills, Janet T.",4,22,18.18,Mills
Alexander,"Sweet, Elizabeth A.",4,22,18.18,Sweet
Alfred,"Cote, Adam Roland",114,298,38.26,Cote
Alfred,"Dion, Donna J.",7,298,2.35,Dion_Donna
Alfred,"Dion, Mark N.",7,298,2.35,Dion_Mark
Alfred,"Eves, Mark W.",58,298,19.46,Eves
Alfred,"Mills, Janet T.",66,298,22.15,Mills
Alfred,"Russell, Diane Marie",7,298,2.35,Russell
Alfred,"Sweet, Elizabeth A.",39,298,13.09,Sweet
Allagash,"Cote, Adam Roland",11,20,55.0,Cote
Allagash,"Eves, Mark W.",2,20,10.0,Eves
Allagash,"Mills, Janet T.",4,20,20.0,Mills
Allagash,"Sweet, Elizabeth A.",3,20,15.0,Sweet
Alna,"Cote, Adam Roland",33,133,24.81,Cote
Alna,"Dion, Donna J.",1,133,0.75,Dion_Donna
Alna,"Dion, Mark N.",9,133,6.77,Dion_Mark
Alna,"Eves, Mark W.",20,133,15.04,Eves
Alna,"Mills, Janet T.",45,133,33.83,Mills
Alna,"Sweet, Elizabeth A.",25,133,18.8,Sweet
Alton,"Cote, Adam Roland",16,40,40.0,Cote
Alton,"Dion, Donna J.",1,40,2.5,Dion_Donna
Alton,"Dion, Mark N.",3,40,7.5,Dion_Mark
Alton,"Eves, Mark W.",5,40,12.5,Eves
Alton,"Mills, Janet T.",12,40,30.0,Mills
Alton,"Sweet, Elizabeth A.",3,40,7.5,Sweet
Amherst,"Cote, Adam Roland",4,26,15.38,Cote
Amherst,"Dion, Mark N.",1,26,3.85,Dion_Mark
Amherst,"Eves, Mark W.",9,26,34.62,Eves
Amherst,"Mills, Janet T.",9,26,34.62,Mills
Amherst,"Sweet, Elizabeth A.",3,26,11.54,Sweet
Amity,"Cote, Adam Roland",2,7,28.57,Cote
Amity,"Eves, Mark W.",1,7,14.29,Eves
Amity,"Mills, Janet T.",4,7,57.14,Mills
Andover,"Cote, Adam Roland",14,52,26.92,Cote
