county,municipality,fredette,mason,mayhew,moody,blank,total_ballots
AND,AUBURN,41,382,160,672,83,1338
AND,DURHAM,10,163,38,169,20,400
AND,GREENE,2,163,30,160,9,364
AND,LEEDS,4,72,9,76,2,163
AND,LEWISTON,25,480,225,647,58,1435
AND,LISBON,18,599,46,170,29,862
AND,LIVERMORE,5,99,24,126,14,268
AND,LIVERMORE FALLS,6,49,18,93,8,174
AND,MECHANIC FALLS,8,79,14,95,10,206
AND,MINOT,3,60,24,108,11,206
AND,POLAND,11,105,59,249,12,436
AND,SABATTUS,6,145,28,138,6,323
AND,TURNER,6,375,70,193,18,662
AND,WALES,1,71,16,70,5,163
ARO,ALLAGASH,0,0,1,3,4,8
ARO,AMITY,3,6,4,8,3,24
ARO,ASHLAND,2,8,10,39,8,67
ARO,BENEDICTA TWP/SILVER RIDGE TWP                                                                                                                        ,1,7,3,7,0,18
ARO,BLAINE,6,7,5,50,15,83
ARO,BRIDGEWATER,2,6,13,23,3,47
ARO,CARIBOU,28,102,82,285,28,525
ARO,CARY PLT,1,4,4,6,3,18
ARO,CASTLE HILL,2,4,3,24,6,39
ARO,CASWELL,3,3,1,5,0,12
ARO,CHAPMAN,0,9,5,17,4,35
ARO,CONNOR TWP                                                                                                                                            ,1,1,0,10,0,12
ARO,CROSS LAKE TWP (T17 R5),2,1,2,14,0,19
ARO,CRYSTAL,1,10,1,16,0,28
ARO,CYR PLT,1,2,0,7,1,11
ARO,DYER BROOK,0,17,3,16,2,38
ARO,E TWP                                                                                                                                                 ,0,1,1,1,1,4
ARO,EAGLE LAKE,1,5,3,19,3,31
ARO,EASTON,11,18,15,76,10,130
ARO,FORT FAIRFIELD,7,48,14,100,8,177
ARO,FORT KENT,12,22,24,115,12,185
ARO,FRENCHVILLE,2,4,5,26,2,39
ARO,GARFIELD PLT,1,1,1,6,1,10
ARO,GLENWOOD PLT,0,0,0,0,0,0
ARO,GRAND ISLE,1,5,0,5,0,11
ARO,HAMLIN,2,0,1,8,0,11
ARO,HAMMOND,0,0,1,5,1,7
ARO,HAYNESVILLE,1,1,0,5,2,9
ARO,HERSEY,1,1,0,5,3,10
ARO,HODGDON,6,44,8,52,17,127
ARO,HOULTON,16,96,31,154,23,320
ARO,ISLAND FALLS,2,28,6,34,5,75
ARO,LIMESTONE,12,18,8,80,14,132
ARO,LINNEUS,7,11,8,30,6,62
ARO,LITTLETON,6,9,12,37,3,67
ARO,LUDLOW,3,9,0,15,2,29
ARO,MACWAHOC PLT,0,1,0,1,0,2
ARO,MADAWASKA,6,23,15,45,4,93
ARO,MADAWASKA LAKE,1,5,1,20,4,31
ARO,MAPLETON,13,22,33,146,15,229
ARO,MARS HILL,2,18,6,88,15,129
ARO,MASARDIS,0,4,3,11,1,19
ARO,MERRILL,0,7,2,9,1,19
ARO,MOLUNKUS TWP                                                                                                                                          ,1,0,0,2,0,3
ARO,MONTICELLO,6,14,8,48,14,90
ARO,MORO PLT,0,0,0,7,0,7
ARO,NASHVILLE PLT,1,0,1,0,0,2
ARO,NEW CANADA,1,1,2,7,2,13
ARO,NEW LIMERICK,3,12,10,35,2,62
ARO,NEW SWEDEN,1,8,9,23,2,43
ARO,OAKFIELD,1,11,2,25,13,52
ARO,ORIENT,1,2,1,8,1,13
ARO,OXBOW NORTH TWP,0,2,0,4,0,6
ARO,PERHAM,0,10,10,15,3,38
ARO,PORTAGE LAKE,2,6,2,27,2,39
ARO,PRESQUE ISLE,35,105,102,314,83,639
ARO,REED PLT,9,3,2,8,2,24
ARO,SAINT AGATHA/SINCLAIR,1,6,0,23,9,39
ARO,SAINT FRANCIS,0,1,2,8,1,12
ARO,SAINT JOHN PLT,1,1,0,7,3,12
ARO,SHERMAN,5,54,15,48,16,138
ARO,SMYRNA,0,9,2,6,3,20
ARO,STOCKHOLM,2,3,1,17,6,29
