county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered,dem_2018_ballots,rep_2018_ballots,dem_registered_2017,rep_registered_2017,dem_turnout_2018_pct,rep_turnout_2018_pct,dem_eligible_2026,rep_eligible_2026
AND,AUBURN,4343.0,3791.0,572.0,276.0,4421.0,13403,1683,1338,4937.0,3850.0,34.09,34.75,8764.0,8212.0
AND,DURHAM,901.0,1015.0,156.0,20.0,1072.0,3164,312,400,851.0,973.0,36.66,41.11,1973.0,2087.0
AND,GREENE,612.0,1124.0,152.0,36.0,928.0,2852,248,364,843.0,948.0,29.42,38.4,1540.0,2052.0
AND,LEEDS,353.0,613.0,73.0,9.0,480.0,1528,165,163,464.0,500.0,35.56,32.6,833.0,1093.0
AND,LEWISTON,6978.0,4739.0,750.0,650.0,5664.0,18781,2541,1435,11040.0,4848.0,23.02,29.6,12642.0,10403.0
AND,LISBON,1466.0,1982.0,162.0,55.0,1948.0,5613,517,862,1666.0,1906.0,31.03,45.23,3414.0,3930.0
AND,LIVERMORE,416.0,627.0,62.0,14.0,381.0,1500,199,268,591.0,534.0,33.67,50.19,797.0,1008.0
AND,LIVERMORE FALLS,370.0,597.0,66.0,15.0,539.0,1587,212,174,596.0,381.0,35.57,45.67,909.0,1136.0
AND,MECHANIC FALLS,451.0,689.0,105.0,22.0,611.0,1878,155,206,524.0,571.0,29.58,36.08,1062.0,1300.0
AND,MINOT,436.0,782.0,113.0,23.0,607.0,1961,174,206,466.0,648.0,37.34,31.79,1043.0,1389.0
AND,POLAND,1006.0,1359.0,186.0,15.0,1189.0,3755,355,436,1089.0,1249.0,32.6,34.91,2195.0,2548.0
AND,SABATTUS,810.0,1282.0,139.0,42.0,967.0,3240,231,323,1084.0,977.0,21.31,33.06,1777.0,2249.0
AND,TURNER,858.0,1646.0,130.0,39.0,1240.0,3913,349,662,1058.0,1409.0,32.99,46.98,2098.0,2886.0
AND,WALES,163.0,415.0,52.0,7.0,382.0,1019,64,163,244.0,370.0,26.23,44.05,545.0,797.0
ARO,ALLAGASH,56.0,55.0,9.0,0.0,51.0,171,20,8,102.0,56.0,19.61,14.29,107.0,106.0
ARO,AMITY,21.0,78.0,3.0,2.0,71.0,175,7,24,33.0,50.0,21.21,48.0,92.0,149.0
ARO,ASHLAND,157.0,275.0,12.0,4.0,281.0,729,46,67,263.0,194.0,17.49,34.54,438.0,556.0
ARO,BENEDICTA TWP,25.0,53.0,3.0,1.0,43.0,125,8,0,30.0,45.0,26.67,0.0,68.0,96.0
ARO,BLAINE,59.0,243.0,11.0,2.0,136.0,451,20,83,100.0,266.0,20.0,31.2,195.0,379.0
ARO,BRIDGEWATER,47.0,149.0,14.0,0.0,110.0,320,29,47,85.0,166.0,34.12,28.31,157.0,259.0
ARO,CARIBOU,1032.0,1640.0,141.0,15.0,1229.0,4057,351,525,1659.0,1700.0,21.16,30.88,2261.0,2869.0
ARO,CARY TWP,6.0,82.0,13.0,0.0,31.0,132,0,0,,,,,37.0,113.0
ARO,CASTLE HILL,52.0,114.0,13.0,3.0,72.0,254,18,39,63.0,117.0,28.57,33.33,124.0,186.0
