county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered,dem_2018_ballots,rep_2018_ballots,dem_turnout_2018_pct,rep_turnout_2018_pct
AND,AUBURN,5122,4327,708,287,4865,15785,1683,1338,32.86,30.92
AND,DURHAM,977,1100,185,20,1141,3480,312,400,31.93,36.36
AND,GREENE,702,1251,178,34,984,3222,248,364,35.33,29.1
AND,LEEDS,397,646,90,5,493,1677,165,163,41.56,25.23
AND,LEWISTON,9505,5617,974,729,6287,23916,2541,1435,26.73,25.55
AND,LISBON,1717,2290,205,71,2136,6574,517,862,30.11,37.64
AND,LIVERMORE,481,704,79,14,443,1736,199,268,41.37,38.07
AND,LIVERMORE FALLS,453,671,84,18,600,1868,212,174,46.8,25.93
AND,MECHANIC FALLS,519,779,126,23,688,2171,155,206,29.87,26.44
AND,MINOT,483,853,124,23,602,2140,174,206,36.02,24.15
AND,POLAND,1134,1527,221,18,1319,4275,355,436,31.31,28.55
AND,SABATTUS,895,1420,163,46,1075,3683,231,323,25.81,22.75
AND,TURNER,1003,1832,149,46,1339,4447,349,662,34.8,36.14
AND,WALES,189,451,59,11,394,1127,64,163,33.86,36.14
ARO,ALLAGASH,77,67,12,0,56,212,20,8,25.97,11.94
ARO,AMITY,25,84,3,2,72,190,7,24,28.0,28.57
ARO,ASHLAND,197,318,18,3,341,894,46,67,23.35,21.07
ARO,BENEDICTA TWP,29,60,4,2,51,146,8,0,27.59,0.0
ARO,BLAINE,75,262,12,2,149,507,20,83,26.67,31.68
ARO,BRIDGEWATER,67,174,17,0,120,379,29,47,43.28,27.01
ARO,CARIBOU,1202,1855,178,16,1399,4729,351,525,29.2,28.3
ARO,CARY TWP,12,88,19,0,37,159,0,0,0.0,0.0
ARO,CASTLE HILL,64,125,19,4,90,305,18,39,28.12,31.2
ARO,CASWELL,59,53,7,1,47,173,13,12,22.03,22.64
ARO,CHAPMAN,76,140,13,1,98,331,25,35,32.89,25.0
ARO,CONNOR TWP,64,98,11,1,83,260,14,0,21.88,0.0
ARO,CROSS LAKE TWP (T17 R5),57,74,17,0,41,189,0,19,0.0,25.68
ARO,CRYSTAL,23,89,13,0,72,197,4,28,17.39,31.46
ARO,CYR PLT,28,30,5,2,14,79,12,11,42.86,36.67
ARO,DYER BROOK,26,103,6,0,48,187,10,38,38.46,36.89
ARO,EAGLE LAKE,265,203,24,0,217,713,80,31,30.19,15.27
ARO,EASTON,170,410,27,8,234,865,74,130,43.53,31.71
ARO,FORT FAIRFIELD,583,846,96,13,625,2201,145,177,24.87,20.92
ARO,FORT KENT,1079,844,45,6,799,2782,344,185,31.88,21.92
ARO,FRENCHVILLE,317,224,26,1,186,758,78,39,24.61,17.41
ARO,GARFIELD PLT,8,36,0,1,26,71,5,10,62.5,27.78
ARO,GLENWOOD PLT,1,0,0,0,4,5,0,0,0.0,
ARO,GRAND ISLE,126,64,18,1,92,303,45,11,35.71,17.19
ARO,HAMLIN,42,38,2,0,44,129,12,11,28.57,28.95
ARO,HAMMOND,10,22,1,1,28,62,1,7,10.0,31.82
ARO,HAYNESVILLE,20,32,5,0,32,90,6,9,30.0,28.12
ARO,HERSEY,3,31,3,2,24,63,0,10,0.0,32.26
ARO,HODGDON,128,467,31,5,253,889,29,127,22.66,27.19
ARO,HOULTON,737,1367,113,19,1263,3531,205,320,27.82,23.41
ARO,ISLAND FALLS,109,253,23,5,167,567,51,75,46.79,29.64
ARO,LIMESTONE,276,379,40,4,441,1172,106,132,38.41,34.83
ARO,LINNEUS,61,341,10,3,256,673,21,62,34.43,18.18
ARO,LITTLETON,110,293,14,1,210,631,34,67,30.91,22.87
ARO,LUDLOW,50,118,10,1,141,320,12,29,24.0,24.58
ARO,MACWAHOC PLT,15,20,4,0,12,51,2,2,13.33,10.0
ARO,MADAWASKA,1220,731,127,6,562,2679,381,93,31.23,12.72
ARO,MADAWASKA LAKE,42,58,5,0,25,130,16,31,38.1,53.45
ARO,MAPLETON,292,644,71,13,387,1427,88,229,30.14,35.56
ARO,MARS HILL,138,477,42,2,265,931,36,129,26.09,27.04
ARO,MASARDIS,32,67,9,1,60,169,0,19,0.0,28.36
ARO,MERRILL,33,81,3,4,54,176,6,19,18.18,23.46
ARO,MONTICELLO,66,241,13,2,193,523,26,90,39.39,37.34
ARO,MORO PLT,2,19,1,0,11,33,1,7,50.0,36.84
ARO,NASHVILLE PLT,8,10,0,0,7,25,2,2,25.0,20.0
ARO,NEW CANADA,63,75,9,0,59,206,27,13,42.86,17.33
ARO,NEW LIMERICK,59,222,6,2,116,407,25,62,42.37,27.93
ARO,NEW SWEDEN,95,177,15,0,160,451,40,43,42.11,24.29
ARO,OAKFIELD,97,233,25,5,169,530,23,52,23.71,22.32
ARO,ORIENT,21,47,2,0,43,113,11,13,52.38,27.66
ARO,OXBOW NORTH TWP,9,27,4,0,22,62,0,6,0.0,22.22
ARO,PERHAM,49,150,15,1,88,307,11,38,22.45,25.33
ARO,PORTAGE LAKE,67,124,16,3,108,319,27,39,40.3,31.45
ARO,PRESQUE ISLE,1427,2041,251,61,1594,5516,450,639,31.53,31.31
ARO,REED PLT,20,59,5,0,25,109,4,24,20.0,40.68
ARO,SAINT AGATHA,242,205,46,1,126,621,84,0,34.71,0.0
ARO,SAINT FRANCIS,131,81,10,0,91,319,25,12,19.08,14.81
ARO,SAINT JOHN PLT,85,51,7,1,41,189,15,12,17.65,23.53
ARO,SHERMAN,73,283,15,1,197,570,37,138,50.68,48.76
ARO,SILVER RIDGE TWP,3,39,2,2,16,63,0,0,0.0,0.0
ARO,SINCLAIR,75,47,26,0,54,205,0,0,0.0,0.0
ARO,SMYRNA,40,109,5,1,64,221,12,20,30.0,18.35
ARO,STOCKHOLM,55,81,6,0,52,196,28,29,50.91,35.8
ARO,VAN BUREN,521,289,54,4,327,1209,175,65,33.59,22.49
ARO,WADE,32,101,9,3,52,203,9,25,28.12,24.75
ARO,WALLAGRASS,143,99,14,2,111,373,76,16,53.15,16.16
ARO,WASHBURN,202,434,26,7,283,977,68,128,33.66,29.49
ARO,WESTFIELD,71,161,14,2,86,339,19,48,26.76,29.81
ARO,WESTMANLAND,9,34,6,0,25,74,2,13,22.22,38.24
ARO,WESTON,42,125,9,3,79,260,18,30,42.86,24.0
ARO,WINTERVILLE PLT,52,54,9,0,53,169,17,16,32.69,29.63
ARO,WOODLAND,166,416,40,11,241,881,56,97,33.73,23.32
CUM,BALDWIN,248,585,59,3,361,1281,67,190,27.02,32.48
CUM,BRIDGTON,1332,1472,234,36,1382,4536,438,534,32.88,36.28
CUM,BRUNSWICK,9433,3409,534,38,5206,18870,3147,1172,33.36,34.38
CUM,CAPE ELIZABETH,4544,1436,130,3,2052,8242,2254,867,49.6,60.38
CUM,CASCO,798,943,148,11,924,2892,261,295,32.71,31.28
CUM,CHEBEAGUE ISLAND,200,77,13,0,85,378,105,50,52.5,64.94
CUM,CUMBERLAND,3130,1781,133,17,2144,7257,698,936,22.3,52.55
CUM,FALMOUTH,4892,2581,160,29,3033,10772,2005,1210,40.99,46.88
CUM,FREEPORT,3491,1437,166,24,2289,7475,1443,576,41.33,40.08
CUM,FRYE ISLAND,26,22,7,0,34,91,9,7,34.62,31.82
CUM,GORHAM,5143,4015,474,57,4294,14149,1644,1785,31.97,44.46
CUM,GRAY,1966,2139,223,47,2294,6764,554,734,28.18,34.32
CUM,HARPSWELL,1821,1159,135,11,1429,4609,874,533,48.0,45.99
CUM,HARRISON,544,729,88,11,668,2070,193,278,35.48,38.13
CUM,LONG ISLAND,96,50,9,0,67,226,54,33,56.25,66.0
CUM,NAPLES,805,1270,109,20,1056,3297,244,367,30.31,28.9
CUM,NEW GLOUCESTER,1215,1468,241,36,1373,4431,454,561,37.37,38.22
CUM,NORTH YARMOUTH,1464,935,120,4,986,3545,609,480,41.6,51.34
CUM,PORTLAND,32753,5309,1812,287,12910,54086,11252,1865,34.35,35.13
CUM,POWNAL,498,408,64,2,475,1464,239,186,47.99,45.59
CUM,RAYMOND,1154,1275,147,23,1219,3873,416,480,36.05,37.65
CUM,SCARBOROUGH,7375,4743,433,57,6028,18869,2331,2096,31.61,44.19
CUM,SEBAGO,420,627,79,7,489,1643,157,179,37.38,28.55
CUM,SOUTH PORTLAND,10582,3044,717,96,5612,20420,3692,1152,34.89,37.84
CUM,STANDISH,2122,2790,402,29,2207,7710,586,871,27.62,31.22
CUM,WESTBROOK,6081,2854,527,61,4122,14037,1770,972,29.11,34.06
CUM,WINDHAM,4431,4432,505,67,4431,14087,1157,1284,26.11,28.97
CUM,YARMOUTH,3858,1406,238,25,2037,7645,1632,885,42.3,62.94
FRA,AVON,86,141,13,2,119,367,20,37,23.26,26.24
