county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered
AND,AUBURN,4343.0,3791.0,572.0,276.0,4421.0,13403
AND,DURHAM,901.0,1015.0,156.0,20.0,1072.0,3164
AND,GREENE,612.0,1124.0,152.0,36.0,928.0,2852
AND,LEEDS,353.0,613.0,73.0,9.0,480.0,1528
AND,LEWISTON,6978.0,4739.0,750.0,650.0,5664.0,18781
AND,LISBON,1466.0,1982.0,162.0,55.0,1948.0,5613
AND,LIVERMORE,416.0,627.0,62.0,14.0,381.0,1500
AND,LIVERMORE FALLS,370.0,597.0,66.0,15.0,539.0,1587
AND,MECHANIC FALLS,451.0,689.0,105.0,22.0,611.0,1878
AND,MINOT,436.0,782.0,113.0,23.0,607.0,1961
AND,POLAND,1006.0,1359.0,186.0,15.0,1189.0,3755
AND,SABATTUS,810.0,1282.0,139.0,42.0,967.0,3240
AND,TURNER,858.0,1646.0,130.0,39.0,1240.0,3913
AND,WALES,163.0,415.0,52.0,7.0,382.0,1019
ARO,ALLAGASH,56.0,55.0,9.0,0.0,51.0,171
ARO,AMITY,21.0,78.0,3.0,2.0,71.0,175
ARO,ASHLAND,157.0,275.0,12.0,4.0,281.0,729
ARO,BENEDICTA TWP,25.0,53.0,3.0,1.0,43.0,125
ARO,BLAINE,59.0,243.0,11.0,2.0,136.0,451
ARO,BRIDGEWATER,47.0,149.0,14.0,0.0,110.0,320
ARO,CARIBOU,1032.0,1640.0,141.0,15.0,1229.0,4057
ARO,CARY TWP,6.0,82.0,13.0,0.0,31.0,132
ARO,CASTLE HILL,52.0,114.0,13.0,3.0,72.0,254
ARO,CASWELL,44.0,45.0,6.0,1.0,44.0,140
ARO,CHAPMAN,63.0,122.0,10.0,1.0,87.0,283
ARO,CONNOR TWP,45.0,87.0,9.0,1.0,71.0,213
ARO,CROSS LAKE TWP (T17 R5),51.0,68.0,14.0,0.0,37.0,170
ARO,CRYSTAL,19.0,76.0,11.0,0.0,64.0,170
ARO,CYR PLT,22.0,22.0,4.0,2.0,12.0,62
ARO,DYER BROOK,20.0,90.0,5.0,0.0,42.0,157
ARO,EAGLE LAKE,190.0,169.0,16.0,0.0,163.0,538
ARO,EASTON,146.0,376.0,25.0,6.0,208.0,761
ARO,FORT FAIRFIELD,500.0,716.0,69.0,11.0,529.0,1825
ARO,FORT KENT,893.0,801.0,35.0,5.0,666.0,2400
ARO,FRENCHVILLE,257.0,210.0,17.0,0.0,162.0,646
ARO,GARFIELD PLT,7.0,30.0,0.0,2.0,26.0,65
ARO,GLENWOOD PLT,0.0,0.0,0.0,0.0,4.0,4
ARO,GRAND ISLE,111.0,56.0,18.0,1.0,82.0,268
ARO,HAMLIN,34.0,34.0,3.0,1.0,44.0,116
ARO,HAMMOND,9.0,22.0,1.0,1.0,27.0,60
ARO,HAYNESVILLE,17.0,28.0,5.0,0.0,26.0,76
ARO,HERSEY,3.0,24.0,3.0,2.0,14.0,46
ARO,HODGDON,102.0,406.0,25.0,4.0,223.0,760
ARO,HOULTON,618.0,1200.0,97.0,17.0,1032.0,2964
ARO,ISLAND FALLS,87.0,225.0,21.0,3.0,146.0,482
ARO,LIMESTONE,208.0,308.0,30.0,4.0,326.0,876
ARO,LINNEUS,53.0,301.0,7.0,2.0,216.0,579
ARO,LITTLETON,91.0,260.0,13.0,1.0,193.0,558
ARO,LUDLOW,44.0,102.0,10.0,2.0,123.0,281
ARO,MACWAHOC PLT,12.0,19.0,4.0,0.0,8.0,43
ARO,MADAWASKA,1061.0,652.0,108.0,5.0,525.0,2351
ARO,MADAWASKA LAKE,40.0,51.0,4.0,0.0,22.0,117
ARO,MAPLETON,252.0,580.0,67.0,10.0,334.0,1243
ARO,MARS HILL,117.0,412.0,31.0,2.0,217.0,779
ARO,MASARDIS,24.0,57.0,7.0,1.0,52.0,141
ARO,MERRILL,32.0,71.0,3.0,4.0,50.0,160
ARO,MONTICELLO,51.0,213.0,11.0,2.0,160.0,437
ARO,MORO PLT,2.0,17.0,1.0,0.0,9.0,29
ARO,NASHVILLE PLT,7.0,11.0,0.0,0.0,6.0,24
ARO,NEW CANADA,60.0,73.0,6.0,0.0,49.0,188
ARO,NEW LIMERICK,54.0,197.0,6.0,1.0,112.0,370
ARO,NEW SWEDEN,84.0,147.0,13.0,0.0,139.0,383
ARO,OAKFIELD,82.0,211.0,21.0,7.0,141.0,462
ARO,ORIENT,16.0,40.0,0.0,0.0,32.0,88
ARO,OXBOW NORTH TWP,6.0,27.0,4.0,0.0,15.0,52
ARO,PERHAM,47.0,138.0,11.0,0.0,78.0,274
ARO,PORTAGE LAKE,55.0,119.0,12.0,4.0,101.0,291
ARO,PRESQUE ISLE,1185.0,1720.0,202.0,48.0,1385.0,4540
ARO,REED PLT,14.0,53.0,6.0,0.0,20.0,93
ARO,SAINT AGATHA,188.0,180.0,39.0,1.0,104.0,512
ARO,SAINT FRANCIS,103.0,73.0,8.0,0.0,76.0,260
ARO,SAINT JOHN PLT,72.0,50.0,3.0,0.0,43.0,168
ARO,SHERMAN,60.0,271.0,13.0,0.0,178.0,522
ARO,SILVER RIDGE TWP,1.0,36.0,2.0,2.0,12.0,53
ARO,SINCLAIR,60.0,42.0,23.0,1.0,45.0,171
ARO,SMYRNA,36.0,90.0,2.0,1.0,61.0,190
ARO,STOCKHOLM,49.0,69.0,7.0,0.0,42.0,167
ARO,VAN BUREN,440.0,251.0,38.0,4.0,276.0,1009
ARO,WADE,32.0,90.0,10.0,3.0,46.0,181
ARO,WALLAGRASS,127.0,94.0,11.0,2.0,94.0,328
ARO,WASHBURN,174.0,383.0,22.0,8.0,275.0,862
ARO,WESTFIELD,58.0,151.0,14.0,1.0,72.0,296
ARO,WESTMANLAND,9.0,34.0,6.0,0.0,25.0,74
ARO,WESTON,31.0,115.0,8.0,1.0,74.0,229
ARO,WINTERVILLE PLT,41.0,57.0,8.0,0.0,53.0,159
ARO,WOODLAND,136.0,369.0,31.0,6.0,207.0,749
CUM,BALDWIN,211.0,531.0,43.0,3.0,333.0,1121
CUM,BRIDGTON,1126.0,1282.0,187.0,31.0,1299.0,3925
CUM,BRUNSWICK,7911.0,2887.0,438.0,41.0,4784.0,16061
CUM,CAPE ELIZABETH,4074.0,1228.0,106.0,6.0,1974.0,7388
CUM,CASCO,684.0,834.0,128.0,17.0,860.0,2523
CUM,CHEBEAGUE ISLAND,192.0,68.0,13.0,0.0,85.0,358
CUM,CUMBERLAND,2830.0,1540.0,113.0,16.0,2030.0,6529
CUM,FALMOUTH,4434.0,2232.0,127.0,29.0,2879.0,9701
CUM,FREEPORT,3135.0,1248.0,145.0,27.0,2079.0,6634
CUM,FRYE ISLAND,15.0,15.0,2.0,0.0,22.0,54
CUM,GORHAM,4498.0,3562.0,384.0,49.0,3860.0,12353
CUM,GRAY,1691.0,1922.0,192.0,49.0,2090.0,5944
CUM,HARPSWELL,1625.0,1063.0,109.0,11.0,1339.0,4147
CUM,HARRISON,461.0,656.0,77.0,11.0,628.0,1833
CUM,LONG ISLAND,90.0,37.0,8.0,0.0,69.0,204
CUM,NAPLES,681.0,1096.0,75.0,20.0,959.0,2831
CUM,NEW GLOUCESTER,1107.0,1330.0,220.0,34.0,1286.0,3977
CUM,NORTH YARMOUTH,1332.0,876.0,100.0,5.0,974.0,3287
CUM,PORTLAND,26987.0,4241.0,1400.0,304.0,11515.0,44447
CUM,POWNAL,469.0,364.0,52.0,2.0,440.0,1327
CUM,RAYMOND,1025.0,1148.0,116.0,22.0,1158.0,3469
CUM,SCARBOROUGH,6551.0,4122.0,365.0,52.0,5516.0,16606
CUM,SEBAGO,365.0,568.0,69.0,6.0,424.0,1432
CUM,SOUTH PORTLAND,9093.0,2514.0,562.0,82.0,4954.0,17205
CUM,STANDISH,1837.0,2505.0,327.0,31.0,1992.0,6692
CUM,WESTBROOK,5113.0,2343.0,421.0,58.0,3674.0,11609
CUM,WINDHAM,3921.0,3959.0,413.0,65.0,4036.0,12394
CUM,YARMOUTH,3403.0,1199.0,200.0,23.0,1878.0,6703
FRA,AVON,72.0,125.0,8.0,2.0,93.0,300
FRA,CARRABASSETT VALLEY,220.0,155.0,24.0,1.0,208.0,608
FRA,CARTHAGE,71.0,139.0,21.0,0.0,139.0,370
